ltable_url,ltable_problem_code,rtable_url,rtable_problem_code
http://www.spoj.com/problems/BONFIRE,,https://www.codechef.com/problems/WORDNINJ,
http://www.spoj.com/problems/MMIND,,https://www.codechef.com/problems/IOPC15K,
http://www.spoj.com/problems/CTOI10D1,,https://www.codechef.com/problems/GRANAMA,
http://www.spoj.com/problems/STABARDS,,https://www.codechef.com/problems/ATKCTR,
http://www.spoj.com/problems/PANIC,,https://www.codechef.com/problems/DINING,
http://www.spoj.com/problems/HAALPHA,,https://www.codechef.com/problems/FFUNCT,
http://www.spoj.com/problems/OPC1708C,,https://www.codechef.com/problems/CWP1,
http://www.spoj.com/problems/POLYGAME,,https://www.codechef.com/problems/CLOWAY,
http://www.spoj.com/problems/TAP2015F,,https://www.codechef.com/problems/ATKCTR,
http://www.spoj.com/problems/GETBACK,,https://www.codechef.com/problems/ICLFIN05,
http://www.spoj.com/problems/NYSL,,https://www.codechef.com/problems/CIELHACK,
http://www.spoj.com/problems/AMR12K,,https://www.codechef.com/problems/CROSSES,
http://www.spoj.com/problems/DEXTER,,https://www.codechef.com/problems/TEAMSIZE,
http://www.spoj.com/problems/GRAVEYRD,,https://www.codechef.com/problems/CD105,
http://www.spoj.com/problems/DTT,,https://www.codechef.com/problems/GAMCOUNT,
http://www.spoj.com/problems/HOTLINE,,https://www.codechef.com/problems/CDS5,
http://www.spoj.com/problems/DGAME,,https://www.codechef.com/problems/CHCOINSG,
http://www.spoj.com/problems/C1TABOVI,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/POLYDRAW,,https://www.codechef.com/problems/COMMUTE,
http://www.spoj.com/problems/CERC07R,,https://www.codechef.com/problems/AWTHR,
http://www.spoj.com/problems/GRAVEYRD,,https://www.codechef.com/problems/LIGHTHSE,
http://www.spoj.com/problems/SLINK,,https://www.codechef.com/problems/CDTX5,
http://www.spoj.com/problems/AE4B,,https://www.codechef.com/problems/ALLIANCE,
http://www.spoj.com/problems/HSOLVE,,https://www.codechef.com/problems/LOC02,
http://www.spoj.com/problems/LEGO,,https://www.codechef.com/problems/IITK2P07,
http://www.spoj.com/problems/IMITATE,,https://www.codechef.com/problems/SHOPPING,
