TagId,0,1,2,3,4
145,#tree-25,http://www.spoj.com/problems/tag/tree-25,,,
142,#knightmoves,http://www.spoj.com/problems/tag/knightmoves,,,
143,#knight11,http://www.spoj.com/problems/tag/knight11,,,
140,#precalculation,http://www.spoj.com/problems/tag/precalculation,,,
141,#lcp,http://www.spoj.com/problems/tag/lcp,,,
148,#dynamic-programming-72,http://www.spoj.com/problems/tag/dynamic-programming-72,,,
149,#cryptography,http://www.spoj.com/problems/tag/cryptography,,,
77,#hashing,http://www.spoj.com/problems/tag/hashing,,,
76,#giveaway,http://www.spoj.com/problems/tag/giveaway,,,
75,#eid2016,http://www.spoj.com/problems/tag/eid2016,,,
74,#maths-2,http://www.spoj.com/problems/tag/maths-2,,,
73,#queue,http://www.spoj.com/problems/tag/queue,,,
72,#prime-numbers-1,http://www.spoj.com/problems/tag/prime-numbers-1,,,
71,#factorisation,http://www.spoj.com/problems/tag/factorisation,,,
70,#sieve,http://www.spoj.com/problems/tag/sieve,,,
79,#z-1,http://www.spoj.com/problems/tag/z-1,,,
78,#suffix-array-8,http://www.spoj.com/problems/tag/suffix-array-8,,,
